,name,sample1,sample2,sample3,sample4,sample5,date,date_delta,measure1,measure2
164,20170721_sample4,0.0,0.0,0.0,1.0,0.0,2017-07-21,1345,62.0,125.0
165,20141209_sample5,0.0,0.0,0.0,0.0,1.0,2014-12-09,2300,60.75,300.0
166,20030206_sample5,0.0,0.0,0.0,0.0,1.0,2003-02-06,6624,33.75,285.0
167,20001205_sample2,0.0,1.0,0.0,0.0,0.0,2000-12-05,7417,25.0,112.5
168,20201105_sample5,0.0,0.0,0.0,0.0,1.0,2020-11-05,142,72.0,285.0
169,20010709_sample4,0.0,0.0,0.0,1.0,0.0,2001-07-09,7201,28.0,187.5
170,20181108_sample5,0.0,0.0,0.0,0.0,1.0,2018-11-08,870,74.25,210.0
171,20100205_sample5,0.0,0.0,0.0,0.0,1.0,2010-02-05,4068,42.75,300.0
172,20120906_sample1,1.0,0.0,0.0,0.0,0.0,2012-09-06,3124,25.0,11.0
173,20021004_sample3,0.0,0.0,1.0,0.0,0.0,2002-10-04,6749,15.0,180.0
174,20030909_sample4,0.0,0.0,0.0,1.0,0.0,2003-09-09,6409,34.0,200.0
175,20190517_sample4,0.0,0.0,0.0,1.0,0.0,2019-05-17,680,66.0,125.0
176,20101226_sample1,1.0,0.0,0.0,0.0,0.0,2010-12-26,3744,16.0,12.0
177,20101226_sample3,0.0,0.0,1.0,0.0,0.0,2010-12-26,3744,30.0,200.0
178,20160419_sample4,0.0,0.0,0.0,1.0,0.0,2016-04-19,1803,68.0,212.5
179,20110126_sample4,0.0,0.0,0.0,1.0,0.0,2011-01-26,3713,58.0,137.5
180,20070318_sample5,0.0,0.0,0.0,0.0,1.0,2007-03-18,5123,56.25,225.0
181,20110915_sample4,0.0,0.0,0.0,1.0,0.0,2011-09-15,3481,52.0,225.0
182,20200506_sample2,0.0,1.0,0.0,0.0,0.0,2020-05-06,325,37.5,75.0
183,20170310_sample1,1.0,0.0,0.0,0.0,0.0,2017-03-10,1478,35.0,10.0
184,20070921_sample3,0.0,0.0,1.0,0.0,0.0,2007-09-21,4936,22.5,170.0
185,20110121_sample5,0.0,0.0,0.0,0.0,1.0,2011-01-21,3718,67.5,240.0
186,20070224_sample3,0.0,0.0,1.0,0.0,0.0,2007-02-24,5145,24.0,150.0
187,20070821_sample3,0.0,0.0,1.0,0.0,0.0,2007-08-21,4967,28.5,140.0
188,20111225_sample1,1.0,0.0,0.0,0.0,0.0,2011-12-25,3380,27.0,12.0
189,20060822_sample1,1.0,0.0,0.0,0.0,0.0,2006-08-22,5331,19.0,14.0
190,20130125_sample4,0.0,0.0,0.0,1.0,0.0,2013-01-25,2983,54.0,137.5
191,20120301_sample4,0.0,0.0,0.0,1.0,0.0,2012-03-01,3313,54.0,137.5
192,20001006_sample5,0.0,0.0,0.0,0.0,1.0,2000-10-06,7477,40.5,225.0
193,20180624_sample1,1.0,0.0,0.0,0.0,0.0,2018-06-24,1007,35.0,19.0
194,20200227_sample4,0.0,0.0,0.0,1.0,0.0,2020-02-27,394,70.0,200.0
195,20110507_sample3,0.0,0.0,1.0,0.0,0.0,2011-05-07,3612,42.0,190.0
196,20190526_sample3,0.0,0.0,1.0,0.0,0.0,2019-05-26,671,46.5,110.0
197,20200503_sample1,1.0,0.0,0.0,0.0,0.0,2020-05-03,328,33.0,19.0
198,20201203_sample5,0.0,0.0,0.0,0.0,1.0,2020-12-03,114,69.75,150.0
199,20021007_sample1,1.0,0.0,0.0,0.0,0.0,2002-10-07,6746,12.0,12.0
200,20040423_sample5,0.0,0.0,0.0,0.0,1.0,2004-04-23,6182,38.25,285.0
201,20090301_sample4,0.0,0.0,0.0,1.0,0.0,2009-03-01,4409,40.0,225.0
202,20100708_sample3,0.0,0.0,1.0,0.0,0.0,2010-07-08,3915,36.0,170.0
203,20020315_sample2,0.0,1.0,0.0,0.0,0.0,2002-03-15,6952,18.75,135.0
204,20130725_sample4,0.0,0.0,0.0,1.0,0.0,2013-07-25,2802,56.0,237.5
205,20110710_sample1,1.0,0.0,0.0,0.0,0.0,2011-07-10,3548,26.0,14.0
206,20081014_sample1,1.0,0.0,0.0,0.0,0.0,2008-10-14,4547,20.0,14.0
207,20030804_sample1,1.0,0.0,0.0,0.0,0.0,2003-08-04,6445,19.0,18.0
208,20110428_sample2,0.0,1.0,0.0,0.0,0.0,2011-04-28,3621,31.25,150.0
209,20030513_sample1,1.0,0.0,0.0,0.0,0.0,2003-05-13,6528,18.0,15.0
210,20110513_sample2,0.0,1.0,0.0,0.0,0.0,2011-05-13,3606,32.5,97.5
211,20111024_sample5,0.0,0.0,0.0,0.0,1.0,2011-10-24,3442,63.0,255.0
212,20121201_sample3,0.0,0.0,1.0,0.0,0.0,2012-12-01,3038,40.5,200.0
213,20111003_sample4,0.0,0.0,0.0,1.0,0.0,2011-10-03,3463,60.0,150.0
214,20000807_sample5,0.0,0.0,0.0,0.0,1.0,2000-08-07,7537,27.0,300.0
215,20000128_sample1,1.0,0.0,0.0,0.0,0.0,2000-01-28,7729,19.0,18.0
216,20181227_sample1,1.0,0.0,0.0,0.0,0.0,2018-12-27,821,31.0,12.0
217,20070415_sample1,1.0,0.0,0.0,0.0,0.0,2007-04-15,5095,25.0,10.0
218,20060321_sample1,1.0,0.0,0.0,0.0,0.0,2006-03-21,5485,17.0,14.0
219,20050110_sample3,0.0,0.0,1.0,0.0,0.0,2005-01-10,5920,24.0,170.0
220,20110720_sample1,1.0,0.0,0.0,0.0,0.0,2011-07-20,3538,27.0,20.0
221,20170428_sample2,0.0,1.0,0.0,0.0,0.0,2017-04-28,1429,42.5,82.5
222,20120624_sample1,1.0,0.0,0.0,0.0,0.0,2012-06-24,3198,29.0,11.0
223,20161202_sample1,1.0,0.0,0.0,0.0,0.0,2016-12-02,1576,30.0,19.0
224,20190109_sample3,0.0,0.0,1.0,0.0,0.0,2019-01-09,808,48.0,180.0
225,20041208_sample5,0.0,0.0,0.0,0.0,1.0,2004-12-08,5953,40.5,270.0
226,20110523_sample1,1.0,0.0,0.0,0.0,0.0,2011-05-23,3596,28.0,13.0
227,20110402_sample4,0.0,0.0,0.0,1.0,0.0,2011-04-02,3647,56.0,250.0
228,20020614_sample4,0.0,0.0,0.0,1.0,0.0,2002-06-14,6861,40.0,175.0
229,20170106_sample3,0.0,0.0,1.0,0.0,0.0,2017-01-06,1541,45.0,160.0
230,20011001_sample4,0.0,0.0,0.0,1.0,0.0,2001-10-01,7117,28.0,125.0
231,20090902_sample4,0.0,0.0,0.0,1.0,0.0,2009-09-02,4224,38.0,212.5
232,20001225_sample3,0.0,0.0,1.0,0.0,0.0,2000-12-25,7397,30.0,110.0
233,20030403_sample1,1.0,0.0,0.0,0.0,0.0,2003-04-03,6568,10.0,20.0
234,20080213_sample5,0.0,0.0,0.0,0.0,1.0,2008-02-13,4791,40.5,150.0
235,20060528_sample2,0.0,1.0,0.0,0.0,0.0,2006-05-28,5417,18.75,82.5
236,20150611_sample1,1.0,0.0,0.0,0.0,0.0,2015-06-11,2116,25.0,10.0
237,20090719_sample3,0.0,0.0,1.0,0.0,0.0,2009-07-19,4269,25.5,200.0
238,20080318_sample1,1.0,0.0,0.0,0.0,0.0,2008-03-18,4757,25.0,12.0
239,20190110_sample4,0.0,0.0,0.0,1.0,0.0,2019-01-10,807,68.0,125.0
240,20100907_sample1,1.0,0.0,0.0,0.0,0.0,2010-09-07,3854,16.0,20.0
241,20060911_sample4,0.0,0.0,0.0,1.0,0.0,2006-09-11,5311,40.0,237.5
242,20000124_sample2,0.0,1.0,0.0,0.0,0.0,2000-01-24,7733,20.0,142.5
243,20110324_sample3,0.0,0.0,1.0,0.0,0.0,2011-03-24,3656,37.5,140.0
244,20030512_sample3,0.0,0.0,1.0,0.0,0.0,2003-05-12,6529,16.5,190.0
245,20130801_sample2,0.0,1.0,0.0,0.0,0.0,2013-08-01,2795,33.75,112.5
246,20150623_sample3,0.0,0.0,1.0,0.0,0.0,2015-06-23,2104,40.5,110.0
247,20180314_sample3,0.0,0.0,1.0,0.0,0.0,2018-03-14,1109,49.5,190.0
248,20040202_sample1,1.0,0.0,0.0,0.0,0.0,2004-02-02,6263,13.0,12.0
249,20180508_sample2,0.0,1.0,0.0,0.0,0.0,2018-05-08,1054,43.75,127.5
250,20100607_sample4,0.0,0.0,0.0,1.0,0.0,2010-06-07,3946,42.0,150.0
251,20051216_sample5,0.0,0.0,0.0,0.0,1.0,2005-12-16,5580,33.75,255.0
252,20160703_sample4,0.0,0.0,0.0,1.0,0.0,2016-07-03,1728,68.0,137.5
253,20040109_sample1,1.0,0.0,0.0,0.0,0.0,2004-01-09,6287,19.0,11.0
254,20031127_sample1,1.0,0.0,0.0,0.0,0.0,2003-11-27,6330,20.0,15.0
255,20140118_sample5,0.0,0.0,0.0,0.0,1.0,2014-01-18,2625,58.5,285.0
256,20140704_sample4,0.0,0.0,0.0,1.0,0.0,2014-07-04,2458,58.0,175.0
257,20001002_sample4,0.0,0.0,0.0,1.0,0.0,2000-10-02,7481,32.0,175.0
258,20150405_sample2,0.0,1.0,0.0,0.0,0.0,2015-04-05,2183,32.5,135.0
259,20090411_sample2,0.0,1.0,0.0,0.0,0.0,2009-04-11,4368,31.25,120.0
260,20030222_sample3,0.0,0.0,1.0,0.0,0.0,2003-02-22,6608,18.0,190.0
261,20121111_sample3,0.0,0.0,1.0,0.0,0.0,2012-11-11,3058,37.5,110.0
262,20151025_sample5,0.0,0.0,0.0,0.0,1.0,2015-10-25,1980,60.75,210.0
263,20091113_sample3,0.0,0.0,1.0,0.0,0.0,2009-11-13,4152,30.0,140.0
264,20110122_sample4,0.0,0.0,0.0,1.0,0.0,2011-01-22,3717,52.0,162.5
265,20020224_sample3,0.0,0.0,1.0,0.0,0.0,2002-02-24,6971,22.5,110.0
266,20030210_sample4,0.0,0.0,0.0,1.0,0.0,2003-02-10,6620,30.0,212.5
267,20180421_sample2,0.0,1.0,0.0,0.0,0.0,2018-04-21,1071,37.5,82.5
268,20000308_sample3,0.0,0.0,1.0,0.0,0.0,2000-03-08,7689,24.0,140.0
269,20090816_sample2,0.0,1.0,0.0,0.0,0.0,2009-08-16,4241,27.5,120.0
270,20010404_sample1,1.0,0.0,0.0,0.0,0.0,2001-04-04,7297,10.0,13.0
271,20001221_sample4,0.0,0.0,0.0,1.0,0.0,2000-12-21,7401,34.0,175.0
272,20140703_sample3,0.0,0.0,1.0,0.0,0.0,2014-07-03,2459,37.5,160.0
273,20100512_sample2,0.0,1.0,0.0,0.0,0.0,2010-05-12,3972,20.0,97.5
274,20120915_sample2,0.0,1.0,0.0,0.0,0.0,2012-09-15,3115,33.75,120.0
275,20180528_sample1,1.0,0.0,0.0,0.0,0.0,2018-05-28,1034,32.0,15.0
276,20151112_sample1,1.0,0.0,0.0,0.0,0.0,2015-11-12,1962,30.0,17.0
277,20181212_sample4,0.0,0.0,0.0,1.0,0.0,2018-12-12,836,68.0,162.5
278,20110416_sample4,0.0,0.0,0.0,1.0,0.0,2011-04-16,3633,56.0,162.5
279,20031122_sample2,0.0,1.0,0.0,0.0,0.0,2003-11-22,6335,25.0,142.5
280,20020204_sample4,0.0,0.0,0.0,1.0,0.0,2002-02-04,6991,22.0,162.5
281,20101028_sample5,0.0,0.0,0.0,0.0,1.0,2010-10-28,3803,47.25,165.0
282,20020511_sample3,0.0,0.0,1.0,0.0,0.0,2002-05-11,6895,18.0,160.0
283,20151203_sample3,0.0,0.0,1.0,0.0,0.0,2015-12-03,1941,45.0,170.0
284,20130721_sample4,0.0,0.0,0.0,1.0,0.0,2013-07-21,2806,52.0,225.0
285,20130819_sample3,0.0,0.0,1.0,0.0,0.0,2013-08-19,2777,37.5,100.0
286,20121020_sample1,1.0,0.0,0.0,0.0,0.0,2012-10-20,3080,26.0,10.0
287,20160923_sample1,1.0,0.0,0.0,0.0,0.0,2016-09-23,1646,35.0,11.0
288,20150913_sample2,0.0,1.0,0.0,0.0,0.0,2015-09-13,2022,32.5,90.0
289,20030713_sample5,0.0,0.0,0.0,0.0,1.0,2003-07-13,6467,38.25,195.0
